Mittler_2004,Willems_2016,Gadjev_2006,Oliveira_2019,Huaming_He_2018,Marura_2012,Scarpeci_2008,Balazadeh_2012,AscGlutCycle,De_Clercq_2021
AT4G25100,AT4G33470,AT3G62460,AT1G75270,AT5G24110,AT5G59845,AT1G28480,AT1G69890,AT1G07890,AT5G63790
AT5G51100,AT3G59400,AT4G05050,AT1G77100,AT1G80840,AT1G60110,AT1G79680,AT2G40000,AT3G09640 ,AT3G55980
AT5G23310,AT1G52230,AT2G15040,AT3G03670,AT1G66550,AT1G60095,AT1G80820,AT2G18210,AT4935000 ,AT2G37430
AT1G08830,AT1G21500,AT2G15560,AT3G50990,AT5G13080,AT2G20825,AT5G14700,AT1G18570,AT4G08390 ,AT2G40140
AT2G28190,AT1G32060,AT4G03060,AT5G19880,AT2G40340,AT3G14680,AT1G67920,AT1G21100,AT1G77490 ,AT5G59820
AT5G18100,AT1G19150,AT3G47090,AT5G64100,AT5G05410,AT1G56710,AT1G30370,AT5G64310,AT3G27820,AT5G24110
AT3G10920,AT2G27290,AT4G10500,AT5G64110,AT2G38340,AT1G78960,AT2G46400,AT5G28630,AT3G52880,AT2G38470
AT3G56350,AT1G62780,AT4G21650,AT2G38380,AT1G04370,AT4G30230,AT1G19530,AT3G02840,AT1G63940 ,AT2G46400
AT1G07890,AT4G21280,AT2G29120,AT2G38390,AT1G22810,AT4G26200,AT5G64510,AT2G37430,AT5G03630,AT4G17500
AT3G09640,AT3G54050,AT4G23290,AT3G32980,AT1G71520,AT2G34930,AT1G14540,AT1G05575,AT3G09940,AT1G28370
AT4G35000,AT1G77490,AT1G13650,AT3G49110,AT2G33710,AT1G18870,AT5G41740,AT2G38470,AT5G16710,AT4G18880
AT4G09010,AT5G58260,AT4G19240,AT3G49120,AT3G46080,AT3G20340,AT2G33710,AT4G17490,AT1G75270,AT2G23320
AT4G35970,AT5G42760,AT2G32680,AT4G08770,AT2G37430,AT4G13190,AT1G01560,AT5G47230,AT3924170,AT5G04340
AT4G32320,AT5G17230,AT2G11240,AT4G08780,AT5G59820,AT1G49640,AT1G29690,AT1G66060,AT3G54660,AT1G80840
AT1G33660,AT1G51400,AT3G05650,AT5G64120,AT1G74080,AT4G04510,AT3G46660,AT2G32030,AT1G07890,AT3G23250
AT4G08390,AT4G22890,AT3G21080,AT2G35380,AT3G23250,AT3G13672,AT1G51820,AT2G26530,AT1G43220,AT1G27730
AT1G77490,AT5G43750,AT5G45380,AT1G14540,AT5G56960,AT1G09350,AT2G44370,AT1G21120,AT1G77490,AT5G49520
AT1G63940,AT3G47070,AT4G16950,AT1G14550,AT5G06839,AT3G62760,AT3G48640,AT1G35210,AT3G09640,AT5G13080
AT3G09940,AT4G09010,AT2G42330,AT1G49570,AT2G26150,AT4G13195,AT1G17420,AT3G55980,AT4G08390,AT4G17230
AT3G27820,AT1G76100,AT1G20490,AT2G43480,AT3G15500,AT1G17870,AT5G12340,AT2G33710,AT4G09010,AT5G59450
AT3G52880,AT1G52220,AT2G03980,AT5G24070,AT3G25250,AT1G03170,AT3G48650,AT2G25735,AT4G32320,AT1G42990
AT5G03630,AT1G03630,AT5G26280,AT1G30870,AT5G45810,AT5G61430,AT5G46910,AT5G54490,AT4G35000,AT1G18570
AT5G16710,AT1G67740,AT3G05660,AT1G44970,AT5G65600,AT3G24900,AT5G05300,AT1G19020,AT4G35970,AT4G23810
AT5G36270,AT3G27690,AT4G05040,AT1G68850,AT1G47890,AT5G38200,AT2G27150,AT5G51190,AT1G63940,AT1G66550
AT1G75270,AT3G19480,AT5G64390,AT2G22420,AT5G25910,AT2G26400,AT5G64905,AT3G02800,AT3G09940,AT3G23220
AT1G19550,AT4G28660,AT1G31200,AT3G01190,AT4G23280,AT1G68320,AT3G05370,AT5G64905,AT3G27820,AT5G47230
AT1G19570,AT5G19855,AT4G23150,AT4G25980,AT4G04490,AT1G66570,AT5G65600,AT1G76600,AT3G52880,AT3G54810
AT3G24170,AT1G22630,AT3G04160,AT5G19890,AT5G25930,AT2G14620,AT5G01540,AT3G23230,AT5G03630,AT5G47220
AT3G54660,AT1G65230,AT2G24160,AT5G42180,AT5G46080,AT4G36430,AT1G61560,AT1G59590,AT1G19550,AT2G40740
AT1G20630,AT3G16250,AT3G53390,AT1G05250,AT3G46280,AT5G03550,AT1G30700,AT4G18880,AT1G19570,AT4G36990
AT4G35090,AT1G55670,AT3G26744,AT1G05260,AT1G07160,AT3G28600,AT3G11840,AT2G41640,AT1G75270,AT2G30250
AT1G20620,AT5G35630,AT1G60810,AT1G24110,AT1G79680,AT3G01345,AT5G58120,AT1G28190,AT5G36270,AT4G31550
AT2G25080,AT4G28080,AT3G23120,AT1G71695,AT3G46230,AT1G55230,AT1G73080,AT5G57220,AT5G16710,AT5G01380
AT2G31570,AT4G14890,AT1G74280,AT2G18140,AT5G12030,AT4G27480,AT1G03905,AT1G26380,AT3G24170,AT5G22570
AT2G43350,AT3G18890,AT4G13560,AT2G18150,AT5G12020,AT5G14180,AT2G39200,AT2G31945,AT3G54660,AT3G23240
AT2G48150,AT1G54520,AT1G79000,AT2G18980,AT4G27670,AT2G25260,AT2G26190,AT4G11280,AT3G15660,AT4G17490
AT3G63080,AT1G08380,AT1G07880,AT2G24800,AT4G10250,AT4G34970,AT3G62260,AT1G80840,AT1G08830,AT4G22950
AT4G31870,AT2G42220,AT1G05840,AT2G34060,AT1G52560,AT4G38000,AT4G35180,AT5G04340,AT2G28190,AT3G10500
AT1G63460,AT5G07020,AT1G06640,AT2G39040,AT1G59860,AT5G56300,AT3G01830,AT2G22880,AT5G18100,AT3G49530
AT4G11600,AT1G30380,AT1G13470,AT2G41480,AT1G53540,AT2G44240,AT3G46930,AT1G27730,AT4G25100,AT5G62020
AT5G01600,AT3G01500,AT4G17040,AT3G21770,AT5G51440,AT5G02540,AT2G01180,AT5G27420,AT5G51100,AT1G22070
AT3G56090,AT1G15820,AT1G56350,AT4G11290,AT1G07400,AT3G14280,AT1G09940,AT1G61340,AT5G23310,AT1G67970
AT2G40300,AT3G15840,AT5G61530,AT4G21960,AT1G71000,AT3G25180,AT1G65690,AT5G59820,AT3G10920,AT1G62300
AT3G11050,AT1G74730,AT5G52870,AT4G30170,AT4G25200,AT5G22980,AT5G41100,AT5G24110,AT3G56350,AT4G36710
AT5G20230,AT1G74070,AT5G56870,AT4G31760,AT2G02930,AT5G17450,AT4G28703,AT4G24570,AT1G20630,AT1G02220
AT1G72230,AT3G55630,AT1G71720,AT4G36430,AT5G44990,AT3G44290,AT2G29720,AT3G10930,AT4G35090,AT4G31800
AT3G27200,AT4G01050,AT1G32310,AT5G05340,AT2G29490,AT2G24210,AT3G46110,AT3G25250,AT1G20620 ,AT2G38250
AT3G60280,AT1G43670,AT2G15080,AT5G47000,AT2G29470,AT4G04540,AT3G23250,AT4G39670,AT1G07890,AT3G23230
AT4G12880,AT1G76450,AT2G31150,AT5G51890,AT2G29460,AT4G27670,AT1G27770,AT1G77450,AT3G09640,AT3G50260
AT5G26330,AT1G68010,AT1G30530,AT5G66390,AT3G09270,AT4G18960,AT5G17000,AT1G72520,AT4G35000,AT3G01970
AT2G33740,AT1G15980,AT2G25590,AT1G19550,AT5G62480,AT2G44000,AT1G14480,AT3G48650,AT4G09010,AT5G07100
AT4G28365,AT3G55800,AT4G09640,AT1G34510,AT1G78340,AT1G26920,AT5G22690,AT4G21390,AT4G35970,AT1G77450
AT2G31050,AT4G28750,AT3G23480,AT1G73680,AT1G17180,AT2G40260,AT2G23770,AT5G63790,AT4G32320,AT2G22760
AT5G07390,AT5G54270,AT2G44180,AT2G37130,AT2G15490,AT5G65230,AT5G01600,AT4G37370,AT1G77490,AT4G18890
AT1G09090,AT1G14150,AT5G22920,AT3G01420,AT2G15480,AT4G04500,AT3G19660,AT1G63720,AT3G52880,AT2G33710
AT5G51060,AT3G55330,AT2G39580,AT3G17070,AT1G05680,AT1G58170,AT1G74360,AT2G18690,AT5G03630,AT3G44350
AT5G47910,AT3G21055,AT1G21130,AT3G28200,AT2G36770,AT2G22620,AT2G29060,AT1G05340,AT3G09940,AT5G22380
AT1G19230,AT2G01590,AT5G44000,AT3G49960,AT1G05675,AT2G02130,AT1G16670,AT1G57630,AT3G27820,AT1G74080
AT1G64060,AT1G27480,AT3G18980,AT4G16270,AT2G30770,AT1G52800,AT1G43800,AT1G26420,AT1G63940,AT3G56400
AT4G25090,AT1G70760,AT2G35820,AT4G17690,AT3G28740,AT3G45330,AT3G60140,AT2G15480,AT1G19570,AT4G18170
AT5G60010,AT5G51720,AT1G74170,AT4G26010,AT5G67310,AT1G72210,AT3G05360,AT1G10040,AT1G75270,AT1G06160
AT4G11230,AT4G29060,AT3G45420,AT4G33420,AT1G64930,AT3G57100,AT2G31230,AT2G29490,AT5G16710,AT1G32870
